#################################################################################
#
# This file is used for mapping newbase identifiers to FMI identifiers. Notice
# that this file is created for special purposes. It assumes that each Newbase
# parameter name have exactly same FMI parameter name. This means that we can
# do mappings without any unit conversions.
#
# Add the name of this file into the "grid-files.conf" file so that the programs 
# can find it.
#
# FIELDS:
# 1) FmiParameterId/FmiParameterName
# 2) NewbaseParameterId/NewbaseParameterName
# 3) ConversionFunction
# 4) ReverseConversionFunction
#
#################################################################################

BatteryVoltage;BatteryVoltage;;;
SeaLevelAnomaly;SeaLevelAnomaly;;;
TemperatureSea2;TemperatureSea2;;;
TemperatureSeaSurface;TemperatureSeaSurface;;;
CurrentSpeed;CurrentSpeed;;;
CurrentDirection;CurrentDirection;;;
SigWaveHeight;SigWaveHeight;;;
SigWavePeriod;SigWavePeriod;;;
WaveDirection;WaveDirection;;;
WaveSpread;WaveSpread;;;
MaxWaveHeight;MaxWaveHeight;;;
MaxWavePeriod;MaxWavePeriod;;;
WavePeriod;WavePeriod;;;
SigWaveHeightBandB;SigWaveHeightBandB;;;
SigWavePeriodBandB;SigWavePeriodBandB;;;
WaveDirectionBandB;WaveDirectionBandB;;;
SigWaveHeightBandC;SigWaveHeightBandC;;;
SigWavePeriodBandC;SigWavePeriodBandC;;;
WaveDirectionBandC;WaveDirectionBandC;;;
UnidirectivityIndex;UnidirectivityIndex;;;
SigWaveLength;SigWaveLength;;;
MixedLayerDepth;MixedLayerDepth;;;
SigWaveHeightSwell0;SigWaveHeightSwell0;;;
SigWaveHeightSwell1;SigWaveHeightSwell1;;;
SigWaveHeightSwell2;SigWaveHeightSwell2;;;
SigWavePeriodSwell0;SigWavePeriodSwell0;;;
SigWavePeriodSwell1;SigWavePeriodSwell1;;;
SigWavePeriodSwell2;SigWavePeriodSwell2;;;
WaveDirectionSwell0;WaveDirectionSwell0;;;
WaveDirectionSwell1;WaveDirectionSwell1;;;
WaveDirectionSwell2;WaveDirectionSwell2;;;
SeaSprayIcing;SeaSprayIcing;;;
NO2Contents;NO2Contents;;;
COContents;COContents;;;
SO2Contents;SO2Contents;;;
AQIndex;AQIndex;;;
SmogIndex;SmogIndex;;;
UVIndexMax;UVIndexMax;;;
UVIndex;UVIndex;;;
OzoneAnomaly;OzoneAnomaly;;;
PrecipitationRateLarge;PrecipitationRateLarge;;;
PrecipitationRateConv;PrecipitationRateConv;;;
PressureReduced;PressureReduced;;;
PressureTendency;PressureTendency;;;
NOContents;NOContents;;;
O3Contents;O3Contents;;;
PM10Contents;PM10Contents;;;
PM25Contents;PM25Contents;;;
TemperatureVirtual;TemperatureVirtual;;;
SnowWarning;SnowWarning;;;
PressureAnomaly;PressureAnomaly;;;
GeopotentialHeightAnomaly;GeopotentialHeightAnomaly;;;
SkinTemperature;SkinTemperature;;;
FeelsLike;FeelsLike;;;
OpenLandSnowDepth;OpenLandSnowDepth;;;
TOL;TOL;;;
QOL;QOL;;;
DivergenceAbsolute;DivergenceAbsolute;;;
DivergenceRelative;DivergenceRelative;;;
WindShearU;WindShearU;;;
WindShearV;WindShearV;;;
VapourPressure;VapourPressure;;;
DragCoefficient;DragCoefficient;;;
Evaporation;Evaporation;;;
PoP;PoP;;;
ProbabilityThunderstorm;ProbabilityThunderstorm;;;
FlashAccuracy;FlashAccuracy;;;
FlashMultiplicity;FlashMultiplicity;;;
FlashStrength;FlashStrength;;;
SnowfallRate;SnowfallRate;;;
SnowAccumulation;SnowAccumulation;;;
WaterEquivalentOfSnow;WaterEquivalentOfSnow;;;
WaterAccumulation;WaterAccumulation;;;
SnowWaterRatio;SnowWaterRatio;;;
