################################################################################
#
# This file is an extension for the 'parameterDef_fmi.csv' file. In this file
# we are definining FMI parameters that have the same name as the newbase
# parameters. 
#
# This means that we can easily map Newbase parameters to FMI parameters without 
# any conversion. We can even ignore the "standard" FMI parameters and use only 
# these names. 

# However, it is good to realize that there are good reasons why we use FMI parameter
# names in the first place. The point is that we try to harmonize and simplify 
# the parameter identification. 
#
# For example, it does not make sense that we have different parameter names for 
# temperature on different levels (temperature,temperature-2m, temperature-10m, etc.). 
# On the other hand we should have different parameter names for parameters that are 
# using different units. For example, a temperature parameter expressed in Kelvins is 
# a different parameter than a temperature parameter expressed in Celsius. So, if
# we just request a temperature parameter, we could get the temperature value
# in Kelvins, Celsius, Fahrenheit, etc. if we do not specify also the parameter
# unit.
#  
# So, in spite of that we are able to define all kinds of FMI parameter names,
# we should use these names only "special cases". 
#
# FIELDS:
# 1) FmiParameterId
# 2) FmiParameterName
# 3) FmiParameterUnits
# 4) FmiParameterDescription
# 5) AreaInterpolationMethod
# 6) TimeInterpolationMethod
# 7) LevelInterpolationMethod
# 8) DefaultPrecision
#
#################################################################################
1000120;MinRange;;;1;1;1;;
1000121;MaxRange;;;1;1;1;;
1000122;ColumnNumber;;;1;1;1;;
1000123;RowNumber;;;1;1;1;;
1000124;HorizontalResolution;;;1;1;1;;
1000125;ZResolution;;;1;1;1;;
1000126;CorrectedReflectivity;;;1;1;1;;
1000127;EchoTop;;;1;1;1;;
1000128;RainfallDepth;;;1;1;1;;
1000129;RawRadarData;;;1;1;1;;
1000130;RadialWind;;;1;1;1;;
1000131;WindAndReflectivity;;;1;1;1;;
1000132;MaxLayerHeight;;;1;1;1;;
1000133;MaxElevation;;;1;1;1;;
1000134;ProjectionID;;;1;1;1;;
1000135;GridOrientation;;;1;1;1;;
1000139;VelocityPotentialM2S;;;1;1;1;;
1000140;VerticalVelocityHPAS;;;1;1;1;;
1000141;VerticalVelocityDPAS;;;1;1;1;;
1000143;VerticalVelocityMS;;;1;1;1;;
1000144;WindShearMS2;;;1;1;1;;
1000145;LogNatOfPressure;;;1;1;1;;
1000146;LapseRate2;;;1;1;1;;
1000147;PrecipitableWater2;;;1;1;1;;
1000148;PrecipitationRate2;;;1;1;1;;
1000150;PrecipitationAmount2;;;1;1;1;;
1000151;SnowDepth2;;;1;1;1;;
1000152;RadiationOutLW2;;;1;1;1;;
1000153;RadiationOutSW2;;;1;1;1;;
1000154;RadiationInSW2;;;1;1;1;;
1000155;BatteryVoltage;;;1;1;1;;
1000160;SeaLevelAnomaly;;;1;1;1;;
1000161;TemperatureSea2;;;1;1;1;;
1000162;TemperatureSeaSurface;;;1;1;1;;
1000163;CurrentSpeed;;;1;1;1;;
1000164;CurrentDirection;;;1;1;1;;
1000165;SigWaveHeight;;;1;1;1;;
1000166;SigWavePeriod;;;1;1;1;;
1000167;WaveDirection;;;1;1;1;;
1000168;WaveSpread;;;1;1;1;;
1000169;MaxWaveHeight;;;1;1;1;;
1000170;MaxWavePeriod;;;1;1;1;;
1000171;WavePeriod;;;1;1;1;;
1000172;SigWaveHeightBandB;;;1;1;1;;
1000173;SigWavePeriodBandB;;;1;1;1;;
1000174;WaveDirectionBandB;;;1;1;1;;
1000175;SigWaveHeightBandC;;;1;1;1;;
1000176;SigWavePeriodBandC;;;1;1;1;;
1000177;WaveDirectionBandC;;;1;1;1;;
1000178;UnidirectivityIndex;;;1;1;1;;
1000179;SigWaveLength;;;1;1;1;;
1000180;MixedLayerDepth;;;1;1;1;;
1000181;SigWaveHeightSwell0;;;1;1;1;;
1000182;SigWaveHeightSwell1;;;1;1;1;;
1000183;SigWaveHeightSwell2;;;1;1;1;;
1000184;SigWavePeriodSwell0;;;1;1;1;;
1000185;SigWavePeriodSwell1;;;1;1;1;;
1000186;SigWavePeriodSwell2;;;1;1;1;;
1000187;WaveDirectionSwell0;;;1;1;1;;
1000188;WaveDirectionSwell1;;;1;1;1;;
1000189;WaveDirectionSwell2;;;1;1;1;;
1000190;SeaSprayIcing;;;1;1;1;;
1000191;NO2Contents;;;1;1;1;;
1000192;COContents;;;1;1;1;;
1000193;SO2Contents;;;1;1;1;;
1000194;AQIndex;;;1;1;1;;
1000195;SmogIndex;;;1;1;1;;
1000196;UVIndexMax;;;1;1;1;;
1000197;UVIndex;;;1;1;1;;
1000198;OzoneAnomaly;;;1;1;1;;
1000200;PrecipitationRateLarge;;;1;1;1;;
1000201;PrecipitationRateConv;;;1;1;1;;
1000202;PressureReduced;;;1;1;1;;
1000203;PressureTendency;;;1;1;1;;
1000204;NOContents;;;1;1;1;;
1000205;O3Contents;;;1;1;1;;
1000206;PM10Contents;;;1;1;1;;
1000207;PM25Contents;;;1;1;1;;
1000212;TemperatureVirtual;;;1;1;1;;
1000220;SnowWarning;;;1;1;1;;
1000226;PressureAnomaly;;;1;1;1;;
1000227;GeopotentialHeightAnomaly;;;1;1;1;;
1000235;SkinTemperature;;;1;1;1;;
1000236;FeelsLike;;;1;1;1;;
1000239;OpenLandSnowDepth;;;1;1;1;;
1000240;TOL;;;1;1;1;;
1000241;QOL;;;1;1;1;;
1000242;DivergenceAbsolute;;;1;1;1;;
1000244;DivergenceRelative;;;1;1;1;;
1000245;WindShearU;;;1;1;1;;
1000246;WindShearV;;;1;1;1;;
1000255;VapourPressure;;;1;1;1;;
1000256;DragCoefficient;;;1;1;1;;
1000257;Evaporation;;;1;1;1;;
1000259;PoP;;;1;1;1;;
1000260;ProbabilityThunderstorm;;;1;1;1;;
1000261;FlashAccuracy;;;1;1;1;;
1000262;FlashMultiplicity;;;1;1;1;;
1000263;FlashStrength;;;1;1;1;;
1000264;SnowfallRate;;;1;1;1;;
1000265;SnowAccumulation;;;1;1;1;;
1000266;WaterEquivalentOfSnow;;;1;1;1;;
1000267;WaterAccumulation;;;1;1;1;;
1000268;SnowWaterRatio;;;1;1;1;;
1000270;FreezingLevel;;;1;1;1;;
1000271;MiddleAndLowCloudCover;;;1;1;1;;
