# This file is used for mapping grib identifiers to FMI identifiers.
#
# FIELDS:
# 1) FmiParameterId
# 2) GribParameterId
# 3) ConversionFunction
#

# Minimum temperature at 2m since previous post-processing
# MINT2M-C => UNKNOWN
#1;1000000000;

# Precipitation form
# Level of neutral buoyancy (lnb)
# LNB-M => LNB
62;1000000069;

# Convective inhibition (cin)
# CIN-JKG => CIN
63;1000000066;
63;228001;

# Convective inhibition (cin)
# CIN-JKG => SoundingCINSurface
63;1000004725;

# Convective inhibition (cin)
# CIN-JKG => SoundingCIN500m
63;1000004735;

# Convective inhibition (cin)
# CIN-JKG => SoundingCINMostUnstable
63;1000004745;

# Standard Deviation of total cloudiness
# N-STDDEV-PRCNT => UNKNOWN
#65;1000000000;

# tendance barometrique
# TDPS => UNKNOWN
#66;1000000000;

# Temperature of high cloud cover
# T-NH-K => UNKNOWN
#67;1000000000;

# Standard Deviation of high cloud cover
# NH-STDDEV-PRCNT => UNKNOWN
#68;1000000000;

# Temperature of low and middle cloud cover
# T-NLM-K => UNKNOWN
#69;1000000000;

# temperature maximale
# TMAX => UNKNOWN
#70;1000000000;

# temperature minimale
# TMIN => UNKNOWN
#71;1000000000;

# Standard Deviation of low and middle cloud cover
# NLMDEV-PRCNT => UNKNOWN
#72;1000000000;

# Percentage of fog in a grid cell
# FOG-PRCNT => FogPercentage
73;1000000486;

# Percentage of land in a grid cell
# FL-PRCNT => LandPercentage
74;1000000487;

# Percentage of sea in a grid cell
# FSEA-PRCNT => SeaPercentage
75;1000000488;

# Percentage of snow in a grid cell
# FSNO-PRCNT => SnowPercentage
76;1000000489;

# Percentage of sun glint in a grid cell
# FSG-PRCNT => SunGlintPercentage
77;1000000490;

#  Temperature in Celsius, height 1
# T-H1-C => UNKNOWN
#78;1000000000;

#  Temperature in Celsius, height 2
# T-H2-C => UNKNOWN
#79;1000000000;

#  Temperature in Celsius, height 3
# T-H3-C => UNKNOWN
#80;1000000000;

#  Temperature in Celsius, height 4
# T-H4-C => UNKNOWN
#81;1000000000;

#  Temperature in Celsius, height 5
# T-H5-C => UNKNOWN
#82;1000000000;

#  Temperature in Celsius, height 6
# T-H6-C => UNKNOWN
#83;1000000000;

#  Temperature in Celsius, height 7
# T-H7-C => UNKNOWN
#84;1000000000;

#  Temperature in Celsius, height 8
# T-H8-C => UNKNOWN
#85;1000000000;

#  Relative Humidity in percents, height 2
# RH-H2-PRCNT => UNKNOWN
#86;1000000000;

#  Relative Humidity in percents height 3
# RH-H3-PRCNT => UNKNOWN
#87;1000000000;

# Latent heat flux
# FLLAT-JM2 => LatentHeatFlux
88;1000000321;
88;3121;
88;147;

# Sensible heat flux
# FLSEN-JM2 => SensibleHeatFlux
89;1000000322;
89;322;
89;3122;
89;146;

#  Relative Humidity in percents, height 4
# RH-H4-PRCNT => UNKNOWN
#90;1000000000;

#  Wind speed in m/s, height 1
# FF-H1-MS => UNKNOWN
#91;1000000000;

#  Wind speed in m/s, height 2
# FF-H2-MS => UNKNOWN
#92;1000000000;

#  Wind speed in m/s, height 3
# FF-H3-MS => UNKNOWN
#93;1000000000;

#  Wind speed in m/s, height 4
# FF-H4-MS => UNKNOWN
#94;1000000000;

#  Wind Direction in Degrees, height 1
# DD-H1-D => UNKNOWN
#95;1000000000;

#  Wind Direction in Degrees, height 2
# DD-H2-D => UNKNOWN
#96;1000000000;

#  Wind Direction in Degrees, height 3
# DD-H3-D => UNKNOWN
#97;1000000000;

#  Wind Direction in Degrees, height 4
# DD-H4-D => UNKNOWN
#98;1000000000;

#  Maximum Wind Speed in m/s, height 1
# FX-H1-MS => UNKNOWN
#99;1000000000;

#  Maximum Wind Speed in m/s, height 2
# FX-H2-MS => UNKNOWN
#100;1000000000;

#  Maximum Wind Speed in m/s, height 3
# FX-H3-MS => UNKNOWN
#101;1000000000;

#  Maximum Wind Speed in m/s, height 4
# FX-H4-MS => UNKNOWN
#103;1000000000;

# Pressure in hPa , height 1
# P-H1-HPA => UNKNOWN
#104;1000000000;

#  Relative Humidity in percents, height 1
# RH-H1-PRCNT => UNKNOWN
#105;1000000000;

#  for metars
# WW1METAR-N => UNKNOWN
#106;1000000000;

#  for metars
# WW2METAR-N => UNKNOWN
#107;1000000000;

#  for metars
# WW3METAR-N => UNKNOWN
#108;1000000000;

#  for metars
# ISCB1-N => UNKNOWN
#109;1000000000;

#  for metars
# ISCB2-N => UNKNOWN
#110;1000000000;

#  for metars
# ISCB3-N => UNKNOWN
#111;1000000000;

#  for metars
# ISCB4-N => UNKNOWN
#112;1000000000;

#  for metars
# VVERT-M => UNKNOWN
#113;1000000000;

# Length of flash ellipse axle
# FL-LEN-M => UNKNOWN
#114;1000000000;

# Width of flash ellipse axle
# FL-WID-M => UNKNOWN
#115;1000000000;

# Direction of flash ellipse
# FL-DIR-D => UNKNOWN
#116;1000000000;

# Flash duration in milliseconds
# FL-DUR-MS => UNKNOWN
#117;1000000000;

# Forest fire warning: 0-no, 1-grass, 2-forest1
# FFWARN-N => UNKNOWN
#118;1000000000;

# concentration dans l'air de polluant 
# CONCENTAIR => UNKNOWN
#119;1000000000;

# Total Precipitation over the last 12 hours
# RAIN12 => UNKNOWN
#120;1000000000;

# Total Precipitation over the last 6 hours
# RAIN_6 => UNKNOWN
#121;1000000000;

# Maximum Temperature in Celsius
# TMAX-C => MaximumTemperature
122;1000000005;

# Minimum Temperature in Celsius
# TMIN-C => MinimumTemperature
123;1000000006;

# Ground Temperature in Celcius
# TG-C => UNKNOWN
#124;1000000000;

# Temperature Anomaly in Celsius
# TANM-C => UNKNOWN
#125;1000000000;
125;3025;

# TAF Weather Symbol
# WWTAF-N => UNKNOWN
#126;1000000000;

# CB Cloud cover in %
# CB-PRCNT => CbCloudCover
127;1000000509;

# 2. Cloud Cover in %
# CL2-PRCNT => UNKNOWN
#129;1000000000;

# Emergency center task code
# HAKECODE-N => UNKNOWN
#130;1000000000;

# 3. Cloud Cover in %
# CL3-PRCNT => UNKNOWN
#131;1000000000;

# Friction velocity
# FRVEL-MS => NEWBASE-PARAMETER[225]
132;1000000225;
132;228003;

# 4. Cloud Cover in %
# CL4-PRCNT => UNKNOWN
#133;1000000000;

# 1. Cloud Cover in %
# CL1-PRCNT => UNKNOWN
#134;1000000000;

# Diffuse shortwave radiation
# RDIFSW-WM2 => RadiationReflected
135;1000000318;

# CB Cloud Height in Meters
# CB-M => UNKNOWN
#136;1000000000;

# ALBEDO 0 to 1
# ALBEDO-0TO1 => Albedo
137;1000000284;
137;174;
137;260509;

# Specific Humidity in kg/kg
# Q-KGKG => SpecificHumidity
138;1000000012;
138;133;

# Pressure in Pascals
# P-PA => Pressure
139;1000000001;
139;151;
139;54;

# Pressure in Pascals
# P-PA => PressureAtStationLevel
139;1000000472;
139;134;

# Land Cover, 1=land, 0=sea
# LC-0TO1 => LandSeaMask
143;1000000281;
143;172;

# Vertical Velocity in hPa/s
# VV-HPAS => UNKNOWN
#144;1000000000;

# Pressure Tendency)
# PTD-N => UNKNOWN
#145;1000000000;
145;3003;

# Surface Roughness in Meters
# SR-M => SurfaceRoughness
146;1000000283;
146;173;

# Soil Moisture Content in Kg per square meter
# SM-KGM2 => SoilMoistureContent
147;1000000286;
147;228039;

# Ice Cover, 1=ice, 0=no ice
# IC-0TO1 => IceConcentration
148;1000000384;

# Ice Cover, 1=ice, 0=no ice
# IC-0TO1 => IceCover
148;1000000532;
148;31;

# Forest Cover, 1=Forest, 0=No Forest
# FC-0TO1 => ForestFraction
149;1000000282;

# Speed of the Ship in Meters per Second
# VS_MS => UNKNOWN
#152;1000000000;

# Temperature in Kelvins
# T-K => Temperature
153;1000000004;
153;130;
153;167;
153;300128
153;129011;
153;500372;

# Temperature in Celsius
# T-C => Temperature
154;1000000004;

# Pressure Delta in Pascals)
# PD-PA => UNKNOWN
#156;1000000000;

# Geopotential
# Z-M2S2 => GeopHeight
158;1000000002;
158;129;

# Geopotential
# Z-M2S2 => GeomHeight
158;1000000003;
158;3008;

# Pseudoadiabatic potential temperature in K
# TPW-K => PseudoAdiabaticPotentialTemperature
159;1000000009;
159;3014;

# Dew point Temperature in 10ths of C
# TD-C10 => UNKNOWN
#160;1000000000;

# Dew point Temperature in C
# TD-C => DewPoint
161;1000000010;
161;168;
161;50017;
161;500375;

# Dew point Temperature in K
# TD-K => DewPoint
162;1000000010;
