# This file is automatically generated by the grid engine. The file contains
# mappings for the parameters found from the content server, which do not have
# mappings already defined. The point is that the query server cannot find 
# requested parameters without mappings. On the other hand, the order of the mappings
# is also the search order of the parameters that do not contain complete search 
# information (parameterIdType,levelIdType,levelId,level,etc.)
# 
# If you want to change some of the mappings or their order, then you should move
# them to a permanent mapping file (which is not automatically overridden.
# 
# FIELDS:
#  1) Producer name
#  2) Mapping name
#  3) Parameter id type:
#         1 = FMI_ID
#         2 = FMI_NAME
#         3 = GRIB_ID
#         4 = NEWBASE_ID
#         5 = NEWBASE_NAME
#         6 = CDM_ID
#         7 = CDM_NAME
#  4) Parameter id / name
#  5) Parameter level id type:
#         1 = FMI
#         2 = GRIB1
#         3 = GRIB2
#  6) Level id
#         FMI level identifiers:
#            1 Gound or water surface
#            2 Pressure level
#            3 Hybrid level
#            4 Altitude
#            5 Top of atmosphere
#            6 Height above ground in meters
#            7 Mean sea level
#            8 Entire atmosphere
#            9 Depth below land surface
#            10 Depth below some surface
#            11 Level at specified pressure difference from ground to level
#            12 Max equivalent potential temperature level
#            13 Layer between two metric heights above ground
#            14 Layer between two depths below land surface
#            15 Isothermal level, temperature in 1/100 K
#  7) Area interpolation method
#         0 = None
#         1 = Linear
#         2 = Nearest
#         500..999 = List
#         1000..65535 = External (interpolated by an external function)
#  8) Time interpolation method
#         0 = None
#         1 = Linear
#         2 = Nearest
#         1000..65535 = External (interpolated by an external function)
#  9) Level interpolation method
#         0 = None
#         1 = Linear
#         2 = Nearest
#         3 = Logarithmic
#         1000..65535 = External (interpolated by an external function)
# 10) Group flags
#         bit 0 = Climatological parameter (=> ignore year when searching) 
# 11) Search match (Can this mapping used when searching mappings for incomplete parameters)
#         E = Enabled
#         D = Disabled
# 12) Mapping function (enables data conversions during the mapping)
# 
Harmonie;Pressure;2;P-PA;1;6;00950;1;1;;0;D;MUL{$,0.010000};
Harmonie;ProbabilityThunderstorm;2;POT-PRCNT;1;0;00000;1;1;;0;E;;
Harmonie;PseudoAdiabaticPotentialTemperature;2;TPW-K;1;6;00600;1;1;;0;E;SUM{$,-273.15};
Harmonie;QOL;2;QOL-KGKG;1;6;00002;1;1;;0;E;;
Harmonie;QOL;2;QOL-KGKG;1;6;00760;1;1;;0;D;;
Harmonie;QOL;2;QOL-KGKG;1;6;00770;1;1;;0;D;;
Harmonie;QOL;2;QOL-KGKG;1;6;00800;1;1;;0;D;;
Harmonie;QOL;2;QOL-KGKG;1;6;00950;1;1;;0;D;;
Harmonie;RadiationGlobal;2;RADGLO-WM2;1;0;00000;1;1;;0;E;;
Harmonie;SensibleHeatFlux;2;FLSEN-JM2;1;6;00000;1;1;;0;E;;
Harmonie;SensibleHeatFlux;2;FLSEN-JM2;1;6;00760;1;1;;0;D;;
Harmonie;SensibleHeatFlux;2;FLSEN-JM2;1;6;00770;1;1;;0;D;;
Harmonie;SensibleHeatFlux;2;FLSEN-JM2;1;6;00800;1;1;;0;D;;
Harmonie;SensibleHeatFlux;2;FLSEN-JM2;1;6;00950;1;1;;0;D;;
Harmonie;SurfaceRoughness;2;SR-M;1;6;00760;1;1;;0;E;;
Harmonie;SurfaceRoughness;2;SR-M;1;6;00770;1;1;;0;D;;
Harmonie;Temperature;2;T-K;1;0;00000;1;1;;0;D;SUM{$,-273.15};
Harmonie;Temperature;2;T-K;1;6;00002;1;1;;0;E;SUM{$,-273.15};
Harmonie;Temperature;2;T-K;1;6;00600;1;1;;0;D;SUM{$,-273.15};
Harmonie;Temperature;2;T-K;1;6;00760;1;1;;0;D;SUM{$,-273.15};
Harmonie;Temperature;2;T-K;1;6;00770;1;1;;0;D;SUM{$,-273.15};
Harmonie;Temperature;2;T-K;1;6;00800;1;1;;0;D;SUM{$,-273.15};
Harmonie;Temperature;2;T-K;1;6;00801;1;1;;0;D;SUM{$,-273.15};
Harmonie;Temperature;2;T-K;1;6;00802;1;1;;0;D;SUM{$,-273.15};
Harmonie;Temperature;2;T-K;1;6;00950;1;1;;0;D;SUM{$,-273.15};
Harmonie;Temperature;2;T-K;1;7;00000;1;1;;0;D;SUM{$,-273.15};
Harmonie;TemperatureVirtual;2;TVIRT-K;1;6;00600;1;1;;0;E;SUM{$,-273.15};
Harmonie;TemperatureVirtual;2;TVIRT-K;1;6;00800;1;1;;0;D;SUM{$,-273.15};
Harmonie;TotalOzone;2;TOZONE-KGM2;1;6;00600;1;1;;0;E;;
Harmonie;VerticalVelocityMMS;2;VV-MMS;1;6;00950;1;1;;0;E;;
Harmonie;Visibility;2;VV-M;1;6;00300;1;1;;0;E;;
Harmonie;Visibility;2;VV-M;1;6;00950;1;1;;0;D;;
Harmonie;VorticityAbsolute;2;ABSVO-HZ;1;0;00000;1;1;;0;E;;
Harmonie;WindDirection;2;DD-D;1;0;00000;1;1;;0;E;;
Harmonie;WindDirection;2;DD-D;1;6;00300;1;1;;0;D;;
Harmonie;WindDirection;2;DD-D;1;6;00950;1;1;;0;D;;
Harmonie;WindSpeedMS;2;FF-MS;1;6;00950;1;1;;0;E;;
Harmonie;WindUMS;2;U-MS;1;6;00010;1;1;;0;E;;
Harmonie;WindUMS;2;U-MS;1;6;00760;1;1;;0;D;;
Harmonie;WindUMS;2;U-MS;1;6;00770;1;1;;0;D;;
Harmonie;WindUMS;2;U-MS;1;6;00800;1;1;;0;D;;
Harmonie;WindUMS;2;U-MS;1;6;00950;1;1;;0;D;;
Harmonie;WindVMS;2;V-MS;1;6;00010;1;1;;0;E;;
Harmonie;WindVMS;2;V-MS;1;6;00760;1;1;;0;D;;
Harmonie;WindVMS;2;V-MS;1;6;00770;1;1;;0;D;;
Harmonie;WindVMS;2;V-MS;1;6;00800;1;1;;0;D;;
Harmonie;WindVMS;2;V-MS;1;6;00950;1;1;;0;D;;
