# This file is automatically generated by the 'radon2config' program. It defines mappings between
# FMI identifiers (used in Radon database) and identifiers used in GRIB1 files.
#
# Do not edit this file, because all changes will be overridden.
# You can add your own mappings into the 'fmi_parameterId_grib1_ext.csv' file.
#
# FIELDS:
# 1) FmiParameterId
# 2) FmiProducerId
# 3) GeneratingProcessIdentifier
# 4) Centre
# 5) mGribTableVersion
# 6) mGribParameterNumber
# 7) mGribTimerangeIndicator
# 8) FmiParameterLevelId
# 9) GribParameterLevelId
# 10) ParameterLevel
#
2;1;1;86;1;226;0;;;;
2;3;1;82;1;226;0;;;;
2;4;40;251;253;144;0;;;;
2;50;45;74;2;218;0;;;;
2;51;160;78;2;218;0;;;;
2;53;96;7;2;218;0;;;;
2;101;101;86;206;139;0;;;;
2;102;102;86;206;139;0;;;;
2;103;103;86;2;218;0;;;;
2;106;106;86;206;139;0;;;;
2;107;107;86;2;218;0;;;;
2;109;109;86;2;218;0;;;;
2;116;116;86;206;139;0;;;;
2;117;117;86;206;139;0;;;;
2;160;160;82;129;146;0;;;;
2;199;3;86;253;144;0;;;;
2;210;210;86;203;59;0;;;;
2;230;230;86;203;59;0;;;;
2;240;240;86;203;59;0;;;;
2;250;250;86;203;59;0;;;;
3;101;101;86;206;148;0;;;;
3;102;102;86;206;148;0;;;;
3;106;106;86;206;148;0;;;;
3;116;116;86;206;148;0;;;;
3;117;117;86;206;148;0;;;;
4;101;101;86;206;141;0;;;;
4;102;102;86;206;141;0;;;;
4;106;106;86;206;141;0;;;;
4;116;116;86;206;141;0;;;;
4;117;117;86;206;141;0;;;;
5;101;101;86;206;142;0;;;;
5;106;106;86;206;142;0;;;;
5;116;116;86;206;142;0;;;;
5;117;117;86;206;142;0;;;;
6;101;101;86;206;143;0;;;;
6;106;106;86;206;143;0;;;;
6;116;116;86;206;143;0;;;;
6;117;117;86;206;143;0;;;;
7;101;101;86;206;144;0;;;;
7;106;106;86;206;144;0;;;;
7;116;116;86;206;144;0;;;;
7;117;117;86;206;144;0;;;;
8;101;101;86;206;145;0;;;;
8;106;106;86;206;145;0;;;;
8;116;116;86;206;145;0;;;;
8;117;117;86;206;145;0;;;;
9;101;101;86;206;146;0;;;;
9;106;106;86;206;146;0;;;;
9;116;116;86;206;146;0;;;;
9;117;117;86;206;146;0;;;;
10;101;101;86;206;147;0;;;;
10;106;106;86;206;147;0;;;;
10;116;116;86;206;147;0;;;;
10;117;117;86;206;147;0;;;;
11;101;101;86;206;140;0;;;;
11;106;106;86;206;140;0;;;;
11;116;116;86;206;140;0;;;;
11;117;117;86;206;140;0;;;;
11;160;160;82;129;145;0;;;;
11;230;230;86;203;99;0;;;;
11;240;240;86;203;99;0;;;;
11;250;250;86;203;99;0;;;;
12;101;101;86;206;134;0;;;;
12;106;106;86;206;134;0;;;;
12;116;116;86;206;134;0;;;;
12;117;117;86;206;134;0;;;;
13;101;101;86;206;149;0;;;;
13;106;106;86;206;149;0;;;;
13;116;116;86;206;149;0;;;;
13;117;117;86;206;149;0;;;;
14;210;210;86;203;77;0;;;;
14;230;230;86;203;77;0;;;;
14;240;240;86;203;77;0;;;;
