# This file is automatically generated by the 'radon2config' program. It defines FMI parameters used
# in the Radon database.
#
# Do not edit this file, because all changes will be overridden.
#
# FIELDS:
# 1) FmiParameterId
# 2) NewbaseParameterId
# 3) ConversionFunction
#

# Minimum temperature at 2m since previous post-processing
# MINT2M-C => UNKNOWN
# CIN-JKG => SoundingCINSurface
63;4725;;

# Convective inhibition (cin)
# CIN-JKG => SoundingCIN500m
63;4735;;

# Convective inhibition (cin)
# CIN-JKG => SoundingCINMostUnstable
63;4745;;

# Standard Deviation of total cloudiness
# N-STDDEV-PRCNT => UNKNOWN
65;0;;

# tendance barometrique
# TDPS => UNKNOWN
66;0;;

# Temperature of high cloud cover
# T-NH-K => UNKNOWN
67;0;;

# Standard Deviation of high cloud cover
# NH-STDDEV-PRCNT => UNKNOWN
68;0;;

# Temperature of low and middle cloud cover
# T-NLM-K => UNKNOWN
69;0;;

# temperature maximale
# TMAX => UNKNOWN
70;0;;

# temperature minimale
# TMIN => UNKNOWN
71;0;;

# Standard Deviation of low and middle cloud cover
# NLMDEV-PRCNT => UNKNOWN
72;0;;

# Percentage of fog in a grid cell
# FOG-PRCNT => FogPercentage
73;486;;

# Percentage of land in a grid cell
# FL-PRCNT => LandPercentage
74;487;;

# Percentage of sea in a grid cell
# FSEA-PRCNT => SeaPercentage
75;488;;

# Percentage of snow in a grid cell
# FSNO-PRCNT => SnowPercentage
76;489;;

# Percentage of sun glint in a grid cell
# FSG-PRCNT => SunGlintPercentage
77;490;;

#  Temperature in Celsius, height 1
# T-H1-C => UNKNOWN
78;0;;

#  Temperature in Celsius, height 2
# T-H2-C => UNKNOWN
79;0;;

#  Temperature in Celsius, height 3
# T-H3-C => UNKNOWN
80;0;;

#  Temperature in Celsius, height 4
# T-H4-C => UNKNOWN
81;0;;

#  Temperature in Celsius, height 5
# T-H5-C => UNKNOWN
82;0;;

#  Temperature in Celsius, height 6
# T-H6-C => UNKNOWN
83;0;;

#  Temperature in Celsius, height 7
# T-H7-C => UNKNOWN
84;0;;

#  Temperature in Celsius, height 8
# T-H8-C => UNKNOWN
85;0;;

#  Relative Humidity in percents, height 2
# RH-H2-PRCNT => UNKNOWN
86;0;;

#  Relative Humidity in percents height 3
# RH-H3-PRCNT => UNKNOWN
87;0;;

# Latent heat flux
# FLLAT-JM2 => LatentHeatFlux
88;321;;

# Sensible heat flux
# FLSEN-JM2 => SensibleHeatFlux
89;322;;

#  Relative Humidity in percents, height 4
# RH-H4-PRCNT => UNKNOWN
90;0;;

#  Wind speed in m/s, height 1
# FF-H1-MS => UNKNOWN
91;0;;

#  Wind speed in m/s, height 2
# FF-H2-MS => UNKNOWN
92;0;;

#  Wind speed in m/s, height 3
# FF-H3-MS => UNKNOWN
93;0;;

#  Wind speed in m/s, height 4
# FF-H4-MS => UNKNOWN
94;0;;

#  Wind Direction in Degrees, height 1
# DD-H1-D => UNKNOWN
95;0;;

#  Wind Direction in Degrees, height 2
# DD-H2-D => UNKNOWN
96;0;;

#  Wind Direction in Degrees, height 3
# DD-H3-D => UNKNOWN
97;0;;

#  Wind Direction in Degrees, height 4
# DD-H4-D => UNKNOWN
98;0;;

#  Maximum Wind Speed in m/s, height 1
# FX-H1-MS => UNKNOWN
99;0;;

#  Maximum Wind Speed in m/s, height 2
# FX-H2-MS => UNKNOWN
100;0;;

#  Maximum Wind Speed in m/s, height 3
# FX-H3-MS => UNKNOWN
101;0;;

#  Maximum Wind Speed in m/s, height 4
# FX-H4-MS => UNKNOWN
103;0;;

# Pressure in hPa , height 1
# P-H1-HPA => UNKNOWN
104;0;;

#  Relative Humidity in percents, height 1
# RH-H1-PRCNT => UNKNOWN
105;0;;

#  for metars
# WW1METAR-N => UNKNOWN
106;0;;

#  for metars
# WW2METAR-N => UNKNOWN
107;0;;

#  for metars
# WW3METAR-N => UNKNOWN
108;0;;

#  for metars
