# Parameter;FmiLevelId;Units;Alias1;Alias2;Alias3;
integral_wrt_time_of_radioactivity_concentration_of_217Po_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_218At_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_218Po_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_218Rn_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_219At_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_219Rn_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_220Rn_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_221Fr_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_221Rn_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_222Fr_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_222Ra_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_222Rn_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_223Fr_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_223Ra_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_223Rn_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_224Ra_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_225Ac_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_225Ra_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_226Ac_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_226Ra_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_226Th_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_227Ac_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_227Ra_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_227Th_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_228Ac_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_228Ra_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_228Th_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_229Ac_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_229Ra_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_229Th_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_230Pa_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_230Th_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_230U_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_231Pa_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_231Th_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_231U_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_232Pa_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_232Th_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_232U_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_233Pa_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_233Th_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_233U_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_234mPa_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_234Pa_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_234Th_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_234U_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_235Np_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_235Pu_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_235U_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_236mNp_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_236Np_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_236Pu_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_236U_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_237Np_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_237Pu_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_237U_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_238Np_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_238Pu_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_238U_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_239Np_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_239Pu_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_239U_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_240Am_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_240mNp_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_240Np_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_240Pu_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_240U_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_241Am_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_241Cm_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_241Pu_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_242Am_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_242Cm_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_242m1Am_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_242m2Am_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_242Pu_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_243Am_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_243Cm_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_243Pu_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_244Am_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_244Cm_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_244mAm_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_244Pu_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_245Am_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_245Cm_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_245Pu_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_246Cm_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_247Cm_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_248Cm_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_249Bk_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_249Cf_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_249Cm_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_24Na_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_250Bk_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_250Cf_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_250Cm_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_251Cf_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_252Cf_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_253Cf_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_253Es_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_254Cf_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_254Es_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_254mEs_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_255Es_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_3H_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_41Ar_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_54Mn_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_58Co_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_60Co_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_72Ga_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_72Zn_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_73Ga_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_75Ge_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_77As_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_77Ge_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_77mGe_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_78As_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_78Ge_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_79Se_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_81mSe_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_81Se_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_82Br_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_82mBr_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_83Br_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_83mKr_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_83mSe_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_83Se_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_84Br_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_84mBr_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_85Kr_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_85mKr_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_86mRb_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_86Rb_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_87Kr_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_87Rb_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_88Kr_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_88Rb_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_89Kr_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_89Rb_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_89Sr_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_90mY_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_90Sr_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_90Y_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_91mY_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_91Sr_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_91Y_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_92Sr_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_92Y_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_93Y_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_93Zr_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_94mNb_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_94Nb_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_94Y_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_95mNb_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_95Nb_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_95Y_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_95Zr_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_96Nb_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_97mNb_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_97Nb_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_97Zr_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_98Nb_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_99Mo_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_99mTc_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_radioactivity_concentration_of_99Tc_in_air;;1;Bq s m-3;;;
integral_wrt_time_of_surface_downward_eastward_stress;;1;Pa s;integral_of_surface_downward_eastward_stress_wrt_time;;
integral_wrt_time_of_surface_downward_latent_heat_flux;;1;W s m-2;integral_of_surface_downward_latent_heat_flux_wrt_time;;
integral_wrt_time_of_surface_downward_northward_stress;;1;Pa s;integral_of_surface_downward_northward_stress_wrt_time;;
integral_wrt_time_of_surface_downward_sensible_heat_flux;;1;W s m-2;integral_of_surface_downward_sensible_heat_flux_wrt_time;;
integral_wrt_time_of_surface_downwelling_longwave_flux_in_air;;1;W s m-2;integral_of_surface_downwelling_longwave_flux_in_air_wrt_time;;
integral_wrt_time_of_surface_downwelling_shortwave_flux_in_air;;1;W s m-2;integral_of_surface_downwelling_shortwave_flux_in_air_wrt_time;;
integral_wrt_time_of_surface_net_downward_longwave_flux;;1;W s m-2;integral_of_surface_net_downward_longwave_flux_wrt_time;;
integral_wrt_time_of_surface_net_downward_shortwave_flux;;1;W s m-2;integral_of_surface_net_downward_shortwave_flux_wrt_time;;
integral_wrt_time_of_toa_net_downward_shortwave_flux;;1;W s m-2;integral_of_toa_net_downward_shortwave_flux_wrt_time;;
integral_wrt_time_of_toa_outgoing_longwave_flux;;1;W s m-2;integral_of_toa_outgoing_longwave_flux_wrt_time;;
iron_growth_limitation_of_calcareous_phytoplankton;;1;1;;;
iron_growth_limitation_of_diatoms;;1;1;;;
iron_growth_limitation_of_diazotrophic_phytoplankton;;1;1;iron_growth_limitation_of_diazotrophs;;
iron_growth_limitation_of_miscellaneous_phytoplankton;;1;1;;;
iron_growth_limitation_of_picophytoplankton;;1;1;;;
isccp_cloud_area_fraction;;1;1;;;
isotope_ratio_of_17O_to_16O_in_sea_water_excluding_solutes_and_solids;;1;1;;;
isotope_ratio_of_18O_to_16O_in_sea_water_excluding_solutes_and_solids;;1;1;;;
isotropic_longwave_radiance_in_air;;1;W m-2 sr-1;longwave_radiance;;
isotropic_radiance_per_unit_wavelength_in_air;;1;W m-2 m-1 sr-1;isotropic_spectral_radiance_in_air;spectral_radiance;
isotropic_shortwave_radiance_in_air;;1;W m-2 sr-1;shortwave_radiance;;
kinetic_energy_content_of_atmosphere_layer;;1;J m-2;;;
kinetic_energy_dissipation_in_atmosphere_boundary_layer;;1;W m-2;dissipation_in_atmosphere_boundary_layer;;
lagrangian_tendency_of_air_pressure;;1;Pa s-1;omega;vertical_air_velocity_expressed_as_tendency_of_pressure;
lagrangian_tendency_of_atmosphere_sigma_coordinate;;1;s-1;upward_air_velocity_expressed_as_tendency_of_sigma;vertical_air_velocity_expressed_as_tendency_of_sigma;
land_area_fraction;;1;1;;;
land_binary_mask;;1;1;;;
land_ice_area_fraction;;1;1;;;
land_ice_basal_drag;;1;Pa;;;
land_ice_basal_melt_rate;;1;m s-1;;;
land_ice_basal_specific_mass_balance_flux;;1;kg m-2 s-1;;;
land_ice_basal_temperature;;1;K;;;
land_ice_basal_upward_velocity;;1;m s-1;;;
land_ice_basal_x_velocity;;1;m s-1;;;
land_ice_basal_y_velocity;;1;m s-1;;;
land_ice_calving_rate;;1;m s-1;;;
land_ice_lwe_basal_melt_rate;;1;m s-1;;;
land_ice_lwe_calving_rate;;1;m s-1;;;
land_ice_lwe_surface_specific_mass_balance_rate;;1;m s-1;land_ice_lwe_surface_specific_mass_balance;;
land_ice_mass;;1;kg;;;
land_ice_mass_not_displacing_sea_water;;1;kg;;;
land_ice_runoff_flux;;1;kg m-2 s-1;;;
land_ice_sigma_coordinate;;1;1;;;
land_ice_specific_mass_flux_due_to_calving;;1;kg m-2 s-1;;;
land_ice_specific_mass_flux_due_to_calving_and_ice_front_melting;;1;kg m-2 s-1;;;
land_ice_surface_melt_flux;;1;kg m-2 s-1;;;
land_ice_surface_specific_mass_balance_flux;;1;kg m-2 s-1;;;
land_ice_surface_specific_mass_balance_rate;;1;m s-1;land_ice_surface_specific_mass_balance;;
land_ice_surface_upward_velocity;;1;m s-1;;;
land_ice_surface_x_velocity;;1;m s-1;;;
land_ice_surface_y_velocity;;1;m s-1;;;
land_ice_temperature;;1;K;;;
land_ice_thickness;;1;m;;;
land_ice_vertical_mean_x_velocity;;1;m s-1;;;
land_ice_vertical_mean_y_velocity;;1;m s-1;;;
land_ice_x_velocity;;1;m s-1;;;
land_ice_y_velocity;;1;m s-1;;;
land_surface_liquid_water_amount;;1;kg m-2;;;
land_water_amount;;1;kg m-2;;;
latitude;;1;degree_north;;;
leaf_area_index;;1;1;;;
leaf_mass_content_of_carbon;;1;kg m-2;leaf_carbon_content;;
leaf_mass_content_of_nitrogen;;1;kg m-2;;;
lightning_radiant_energy;;1;J;;;
liquid_water_cloud_area_fraction;;1;1;;;
liquid_water_cloud_area_fraction_in_atmosphere_layer;;1;1;;;
liquid_water_content_of_permafrost_layer;;1;kg m-2;;;
liquid_water_content_of_soil_layer;;1;kg m-2;;;
liquid_water_content_of_surface_snow;;1;kg m-2;liquid_water_content_of_snow_layer;;
liquid_water_mass_flux_into_soil_due_to_surface_snow_melt;;1;kg m-2 s-1;;;
litter_mass_content_of_13C;;1;kg m-2;;;
litter_mass_content_of_14C;;1;kg m-2;;;
litter_mass_content_of_carbon;;1;kg m-2;litter_carbon_content;;
litter_mass_content_of_nitrogen;;1;kg m-2;;;
location_test_quality_flag;;1;1;;;
log10_size_interval_based_number_size_distribution_of_cloud_condensation_nuclei_at_stp_in_air;;1;m-3;;;
longitude;;1;degree_east;;;
low_type_cloud_area_fraction;;1;1;;;
lwe_convective_precipitation_rate;;1;m s-1;;;
lwe_convective_snowfall_rate;;1;m s-1;;;
lwe_precipitation_rate;;1;m s-1;;;
lwe_snowfall_rate;;1;m s-1;;;
lwe_stratiform_precipitation_rate;;1;m s-1;lwe_large_scale_precipitation_rate;;
lwe_stratiform_snowfall_rate;;1;m s-1;lwe_large_scale_snowfall_rate;;
lwe_thickness_of_atmosphere_mass_content_of_water_vapor;;1;m;lwe_thickness_of_atmosphere_water_vapor_content;;
lwe_thickness_of_canopy_water_amount;;1;m;;;
lwe_thickness_of_convective_precipitation_amount;;1;m;;;
lwe_thickness_of_convective_snowfall_amount;;1;m;;;
lwe_thickness_of_frozen_water_content_of_soil_layer;;1;m;;;
lwe_thickness_of_moisture_content_of_soil_layer;;1;m;;;
lwe_thickness_of_precipitation_amount;;1;m;;;
lwe_thickness_of_snowfall_amount;;1;m;;;
lwe_thickness_of_soil_moisture_content;;1;m;;;
lwe_thickness_of_stratiform_precipitation_amount;;1;m;lwe_thickness_of_large_scale_precipitation_amount;;
lwe_thickness_of_stratiform_snowfall_amount;;1;m;lwe_thickness_of_large_scale_snowfall_amount;;
lwe_thickness_of_surface_snow_amount;;1;m;;;
lwe_thickness_of_water_evaporation_amount;;1;m;;;
lwe_water_evaporation_rate;;1;m s-1;;;
magnitude_of_air_velocity_relative_to_sea_water;;1;m s-1;;;
magnitude_of_derivative_of_position_wrt_model_level_number;;1;m;;;
magnitude_of_derivative_of_position_wrt_x_coordinate_index;;1;m;;;
magnitude_of_derivative_of_position_wrt_y_coordinate_index;;1;m;;;
magnitude_of_heat_flux_in_sea_water_due_to_advection;;1;W m-2;;;
magnitude_of_sea_ice_displacement;;1;m;sea_ice_displacement;;
magnitude_of_surface_downward_stress;;1;Pa;;;
mass_concentration_of_acetic_acid_in_air;;1;kg m-3;;;
mass_concentration_of_aceto_nitrile_in_air;;1;kg m-3;;;
mass_concentration_of_alkanes_in_air;;1;kg m-3;;;
mass_concentration_of_alkenes_in_air;;1;kg m-3;;;
mass_concentration_of_alpha_hexachlorocyclohexane_in_air;;1;kg m-3;;;
mass_concentration_of_alpha_pinene_in_air;;1;kg m-3;;;
mass_concentration_of_ammonia_in_air;;1;kg m-3;;;
mass_concentration_of_ammonium_dry_aerosol_particles_in_air;;1;kg m-3;mass_concentration_of_ammonium_dry_aerosol_in_air;;
mass_concentration_of_anthropogenic_nmvoc_expressed_as_carbon_in_air;;1;kg m-3;;;
mass_concentration_of_aromatic_compounds_in_air;;1;kg m-3;;;
mass_concentration_of_atomic_bromine_in_air;;1;kg m-3;;;
mass_concentration_of_atomic_chlorine_in_air;;1;kg m-3;;;
mass_concentration_of_atomic_nitrogen_in_air;;1;kg m-3;;;
mass_concentration_of_benzene_in_air;;1;kg m-3;;;
mass_concentration_of_beta_pinene_in_air;;1;kg m-3;;;
mass_concentration_of_biogenic_nmvoc_expressed_as_carbon_in_air;;1;kg m-3;;;
mass_concentration_of_biological_taxon_expressed_as_carbon_in_sea_water;;1;kg m-3;;;
mass_concentration_of_biological_taxon_expressed_as_chlorophyll_in_sea_water;;1;kg m-3;;;
mass_concentration_of_biological_taxon_expressed_as_nitrogen_in_sea_water;;1;kg m-3;;;
mass_concentration_of_biomass_burning_dry_aerosol_particles_in_air;;1;kg m-3;mass_concentration_of_biomass_burning_dry_aerosol_in_air;;
mass_concentration_of_bromine_chloride_in_air;;1;kg m-3;;;
mass_concentration_of_bromine_monoxide_in_air;;1;kg m-3;;;
mass_concentration_of_bromine_nitrate_in_air;;1;kg m-3;;;
mass_concentration_of_brox_expressed_as_bromine_in_air;;1;kg m-3;;;
mass_concentration_of_butane_in_air;;1;kg m-3;;;
mass_concentration_of_calcareous_phytoplankton_expressed_as_chlorophyll_in_sea_water;;1;kg m-3;;;
mass_concentration_of_carbon_dioxide_in_air;;1;kg m-3;;;
mass_concentration_of_carbon_monoxide_in_air;;1;kg m-3;;;
mass_concentration_of_carbon_tetrachloride_in_air;;1;kg m-3;;;
mass_concentration_of_cfc113a_in_air;;1;kg m-3;;;
mass_concentration_of_cfc113_in_air;;1;kg m-3;;;
mass_concentration_of_cfc114_in_air;;1;kg m-3;;;
mass_concentration_of_cfc115_in_air;;1;kg m-3;;;
mass_concentration_of_cfc11_in_air;;1;kg m-3;;;
mass_concentration_of_cfc12_in_air;;1;kg m-3;;;
mass_concentration_of_chlorine_dioxide_in_air;;1;kg m-3;;;
mass_concentration_of_chlorine_monoxide_in_air;;1;kg m-3;;;
mass_concentration_of_chlorine_nitrate_in_air;;1;kg m-3;;;
mass_concentration_of_chlorophyll_a_in_sea_water;;1;kg m-3;;;
mass_concentration_of_chlorophyll_in_sea_water;;1;kg m-3;chlorophyll_concentration_in_sea_water;concentration_of_chlorophyll_in_sea_water;
;;1;kg m-3;;;
mass_concentration_of_cloud_liquid_water_in_air;;1;kg m-3;;;
mass_concentration_of_clox_expressed_as_chlorine_in_air;;1;kg m-3;;;
mass_concentration_of_coarse_mode_ambient_aerosol_particles_in_air;;1;kg m-3;mass_concentration_of_coarse_mode_ambient_aerosol_in_air;;
mass_concentration_of_condensed_water_in_soil;;1;kg m-3;;;
mass_concentration_of_diatoms_expressed_as_carbon_in_sea_water;;1;kg m-3;;;
mass_concentration_of_diatoms_expressed_as_chlorophyll_in_sea_water;;1;kg m-3;;;
mass_concentration_of_diatoms_expressed_as_nitrogen_in_sea_water;;1;kg m-3;;;
mass_concentration_of_diazotrophic_phytoplankton_expressed_as_carbon_in_sea_water;;1;kg m-3;;;
mass_concentration_of_diazotrophic_phytoplankton_expressed_as_chlorophyll_in_sea_water;;1;kg m-3;mass_concentration_of_diazotrophs_expressed_as_chlorophyll_in_sea_water;;
mass_concentration_of_dichlorine_peroxide_in_air;;1;kg m-3;;;
mass_concentration_of_dimethyl_sulfide_in_air;;1;kg m-3;;;
mass_concentration_of_dinitrogen_pentoxide_in_air;;1;kg m-3;;;
mass_concentration_of_drizzle_in_air;;1;kg m-3;;;
mass_concentration_of_dust_dry_aerosol_particles_in_air;;1;kg m-3;mass_concentration_of_dust_dry_aerosol_in_air;;
mass_concentration_of_elemental_carbon_dry_aerosol_particles_in_air;;1;kg m-3;mass_concentration_of_black_carbon_dry_aerosol_in_air;;
mass_concentration_of_ethane_in_air;;1;kg m-3;;;
mass_concentration_of_ethanol_in_air;;1;kg m-3;;;
mass_concentration_of_ethene_in_air;;1;kg m-3;;;
mass_concentration_of_ethyne_in_air;;1;kg m-3;;;
mass_concentration_of_flagellates_expressed_as_carbon_in_sea_water;;1;kg m-3;;;
mass_concentration_of_flagellates_expressed_as_nitrogen_in_sea_water;;1;kg m-3;;;
mass_concentration_of_formaldehyde_in_air;;1;kg m-3;;;
mass_concentration_of_formic_acid_in_air;;1;kg m-3;;;
mass_concentration_of_gaseous_divalent_mercury_in_air;;1;kg m-3;;;
mass_concentration_of_gaseous_elemental_mercury_in_air;;1;kg m-3;;;
mass_concentration_of_halon1202_in_air;;1;kg m-3;;;
mass_concentration_of_halon1211_in_air;;1;kg m-3;;;
mass_concentration_of_halon1301_in_air;;1;kg m-3;;;
mass_concentration_of_halon2402_in_air;;1;kg m-3;;;
mass_concentration_of_hcc140a_in_air;;1;kg m-3;;;
mass_concentration_of_hcfc141b_in_air;;1;kg m-3;;;
mass_concentration_of_hcfc142b_in_air;;1;kg m-3;;;
