#################################################################################
#
# This file defines grib parameter identifiers for GRIB2 files. The main purpose
# of this file is to identify grib parameters according to their fields so that we
# will get unique grib identifiers for them.
#
# Notice that this file contains "default" definitions that comes with 
# the installation package. You should use another file for your own definitions
# (for example "ext/grib2_parameters.csv". Add the name of your file into the 
# "grid-files.conf" file so that the programs can find it.
#
# Fields:
#   1 Grib-id
#   2 Fields used for identification
#
#################################################################################


# Stream function
51;discipline=0,parameterCategory=0,parameterNumber=0,typeOfFirstFixedSurface=103,scaledValueOfFirstFixedSurface=2,scaleFactorOfFirstFixedSurface=0,indicatorOfUnitForTimeRange=1,typeOfStatisticalProcessing=2,lengthOfTimeRange=24;

# Minimum temperature at 2 metres in the last 24 hours
52;discipline=0,parameterCategory=0,parameterNumber=0,typeOfFirstFixedSurface=103,scaledValueOfFirstFixedSurface=2,scaleFactorOfFirstFixedSurface=0,indicatorOfUnitForTimeRange=1,typeOfStatisticalProcessing=3,lengthOfTimeRange=24;

# Montgomery potential
53;discipline=192,parameterCategory=128,parameterNumber=53;

# Pressure
54;discipline=0,parameterCategory=3,parameterNumber=0;

# Mean temperature at 2 metres in the last 24 hours
55;discipline=192,parameterCategory=128,parameterNumber=55;

# Mean 2 metre dewpoint temperature in the last 24 hours
56;discipline=192,parameterCategory=128,parameterNumber=56;

# Downward UV radiation at the surface
57;discipline=192,parameterCategory=128,parameterNumber=57;

# Photosynthetically active radiation at the surface
58;discipline=192,parameterCategory=128,parameterNumber=58;

# Convective available potential energy
59;discipline=0,parameterCategory=7,parameterNumber=6,typeOfFirstFixedSurface=1,typeOfSecondFixedSurface=8;
59;discipline=0,parameterCategory=7,parameterNumber=6;

# Potential vorticity
60;discipline=0,parameterCategory=2,parameterNumber=14;

# Observation count
62;discipline=192,parameterCategory=128,parameterNumber=62;

# Start time for skin temperature difference
63;discipline=192,parameterCategory=128,parameterNumber=63;

# Finish time for skin temperature difference
64;discipline=192,parameterCategory=128,parameterNumber=64;

# Skin temperature difference
65;discipline=192,parameterCategory=128,parameterNumber=65;

# Leaf area index, low vegetation
66;discipline=192,parameterCategory=128,parameterNumber=66;

# Leaf area index, high vegetation
67;discipline=192,parameterCategory=128,parameterNumber=67;

# Minimum stomatal resistance, low vegetation
68;discipline=192,parameterCategory=128,parameterNumber=68;

# Minimum stomatal resistance, high vegetation
69;discipline=192,parameterCategory=128,parameterNumber=69;

# Biome cover, low vegetation
70;discipline=192,parameterCategory=128,parameterNumber=70;

# Biome cover, high vegetation
71;discipline=192,parameterCategory=128,parameterNumber=71;

# Instantaneous surface solar radiation downwards
72;discipline=192,parameterCategory=128,parameterNumber=72;

# Instantaneous surface thermal radiation downwards
73;discipline=192,parameterCategory=128,parameterNumber=73;

# Standard deviation of filtered subgrid orography
74;discipline=192,parameterCategory=128,parameterNumber=74;

# Specific rain water content
75;discipline=0,parameterCategory=1,parameterNumber=85;

# Specific snow water content
76;discipline=0,parameterCategory=1,parameterNumber=86;

# Eta-coordinate vertical velocity
77;discipline=0,parameterCategory=2,parameterNumber=32;

# Total column cloud liquid water
78;discipline=0,parameterCategory=1,parameterNumber=69,typeOfFirstFixedSurface=1,typeOfSecondFixedSurface=8;

# Total column cloud ice water
79;discipline=0,parameterCategory=1,parameterNumber=70,typeOfFirstFixedSurface=1,typeOfSecondFixedSurface=8;

# Experimental product
80;discipline=192,parameterCategory=128,parameterNumber=80;

# Experimental product
81;discipline=192,parameterCategory=128,parameterNumber=81;

# Experimental product
82;discipline=192,parameterCategory=128,parameterNumber=82;

# Experimental product
83;discipline=192,parameterCategory=128,parameterNumber=83;

# Experimental product
84;discipline=192,parameterCategory=128,parameterNumber=84;

# Experimental product
85;discipline=192,parameterCategory=128,parameterNumber=85;

# Experimental product
86;discipline=192,parameterCategory=128,parameterNumber=86;

# Experimental product
87;discipline=192,parameterCategory=128,parameterNumber=87;

# Experimental product
88;discipline=192,parameterCategory=128,parameterNumber=88;

# Experimental product
89;discipline=192,parameterCategory=128,parameterNumber=89;

# Experimental product
90;discipline=192,parameterCategory=128,parameterNumber=90;

# Experimental product
91;discipline=192,parameterCategory=128,parameterNumber=91;

# Experimental product
92;discipline=192,parameterCategory=128,parameterNumber=92;

# Experimental product
93;discipline=192,parameterCategory=128,parameterNumber=93;

# Experimental product
94;discipline=192,parameterCategory=128,parameterNumber=94;

# Experimental product
