# This file is automatically generated by the 'radon2config' program. It defines mappings between
# FMI identifiers (used in Radon database) and identifiers used in GRIB2 files.
#
# Do not edit this file, because all changes will be overridden.
# You can add your own mappings into the 'fmi_parameterId_grib2_ext.csv' file.
#
# FIELDS:
# 1) FmiParameterId
# 2) FmiProducerId
# 3) GeneratingProcessIdentifier
# 4) Centre
# 5) Discipline
# 6) ParameterCategory
# 7) ParameterNumber
# 8) FmiParameterLevelId
# 9) GribParameterLevelId
# 10) ParameterLevel
#
11;260;204;86;0;1;192;;;;
11;270;207;86;0;1;192;;;;
11;280;201;86;0;1;192;;;;
11;281;202;86;0;1;192;;;;
11;282;203;86;0;1;192;;;;
20;243;243;86;0;6;192;;;;
20;260;204;86;0;6;198;;;;
20;280;201;86;0;6;192;;;;
20;281;202;86;0;6;192;;;;
20;282;203;86;0;6;192;;;;
24;105;11;86;10;2;0;;;;
25;105;11;86;10;2;1;;;;
25;152;152;86;10;2;1;;;;
36;119;119;86;0;2;230;;;;
36;121;121;86;0;2;230;;;;
37;119;119;86;0;2;231;;;;
37;121;121;86;0;2;231;;;;
38;119;119;86;0;2;232;;;;
38;121;121;86;0;2;232;;;;
39;47;47;54;0;5;1;;;;
39;53;96;7;0;5;1;;;;
39;131;152;98;0;5;1;;;;
40;4;0;251;0;4;9;5;8;0;
40;7;11;251;0;4;9;5;8;0;
40;10;2;251;0;4;9;;;;
40;11;3;251;0;4;9;5;8;0;
40;47;47;54;0;4;1;;;;
40;53;96;7;0;4;1;;;;
40;131;152;98;0;4;1;;;;
49;47;47;54;0;1;64;;;;
49;53;96;7;0;1;64;;;;
49;131;152;98;0;1;64;;;;
52;4;0;251;0;1;84;2;100;;
52;4;0;251;0;1;84;3;105;;
52;7;11;251;0;1;84;2;100;;
52;7;11;251;0;1;84;3;105;;
52;10;2;251;0;1;84;2;100;;
52;10;2;251;0;1;84;3;105;;
52;11;3;251;0;1;84;2;100;;
52;11;3;251;0;1;84;3;105;;
52;47;47;54;0;1;23;;;;
52;47;47;54;0;6;19;;;;
52;53;96;7;0;1;23;;;;
52;53;96;7;0;6;19;;;;
52;131;152;98;0;1;23;;;;
52;131;152;98;0;1;84;;;;
52;131;152;98;0;6;19;;;;
127;260;204;86;0;6;197;;;;
127;270;207;86;0;6;197;;;;
132;260;204;86;0;2;227;;;;
132;270;207;86;0;2;227;;;;
146;53;96;7;2;0;1;;;;
147;53;96;7;2;0;3;;;;
147;53;96;7;2;0;9;;;;
147;53;96;7;2;0;192;;;;
148;53;96;7;10;2;0;;;;
153;170;1;78;0;0;0;;;;
153;170;2;78;0;0;0;;;;
158;47;47;54;0;3;5;;;;
158;53;96;7;0;3;5;;;;
164;260;204;86;0;6;199;;;;
166;181;181;86;0;2;1;;;;
169;181;181;86;192;140;242;;;;
175;240;240;86;0;2;192;;;;
179;47;47;54;0;1;8;;;;
179;54;107;7;0;1;8;;;;
179;131;152;98;0;1;8;;;;
179;170;1;78;0;1;52;;;;
179;170;2;78;0;1;52;;;;
181;230;230;86;0;1;202;;;;
181;240;240;86;0;1;202;;;;
181;243;243;86;0;1;202;;;;
181;260;204;86;0;1;202;;;;
181;261;205;86;0;1;202;;;;
181;270;207;86;0;1;202;;;;
184;47;47;54;0;1;9;;;;
184;53;96;7;0;1;9;;;;
184;131;152;98;0;1;9;;;;
187;47;47;54;0;6;7;;;;
187;47;47;54;0;6;22;;;;
187;47;47;54;0;6;32;;;;
187;53;96;7;0;6;1;;;;
187;53;96;7;0;6;7;;;;
187;53;96;7;0;6;22;;;;
187;53;96;7;0;6;32;;;;
187;107;107;86;0;6;7;;;;
187;109;109;86;0;6;7;;;;
187;131;152;98;0;6;7;;;;
187;131;152;98;0;6;22;;;;
189;280;201;86;0;19;194;;;;
189;281;202;86;0;19;194;;;;
189;282;203;86;0;19;194;;;;
196;53;96;7;0;6;3;;;;
197;53;96;7;0;6;4;;;;
198;53;96;7;0;6;5;;;;
199;53;96;7;0;19;1;;;;
201;47;47;54;0;1;37;;;;
201;53;96;7;0;1;37;;;;
201;53;96;7;0;1;196;;;;
201;131;152;98;0;1;37;;;;
203;47;47;54;0;2;10;;;;
203;53;96;7;0;2;10;;;;
203;131;152;98;0;2;10;;;;
209;47;47;54;0;6;13;;;;
209;53;96;7;0;6;13;;;;
209;109;109;86;0;6;13;;;;
214;53;96;7;0;0;4;;;;
214;101;101;86;0;0;4;;;;
215;53;96;7;0;0;5;;;;
215;101;101;86;0;0;5;;;;
216;170;1;78;2;3;18;;;;
216;170;2;78;2;3;18;;;;
218;47;47;54;0;0;17;;;;
218;53;96;7;0;0;17;;;;
218;131;152;98;0;0;17;;;;
225;119;119;86;0;2;233;;;;
225;121;121;86;0;2;233;;;;
226;119;119;86;0;2;234;;;;
226;121;121;86;0;2;234;;;;
227;119;119;86;0;2;237;;;;
227;121;121;86;0;2;237;;;;
228;119;119;86;0;2;238;;;;
228;121;121;86;0;2;238;;;;
229;119;119;86;0;2;239;;;;
229;121;121;86;0;2;239;;;;
230;119;119;86;0;2;240;;;;
230;121;121;86;0;2;240;;;;
231;119;119;86;0;0;215;;;;
231;121;121;86;0;0;215;;;;
232;119;119;86;0;0;216;;;;
232;121;121;86;0;0;216;;;;
233;119;119;86;0;0;217;;;;
233;121;121;86;0;0;217;;;;
257;119;119;86;0;0;210;;;;
257;121;121;86;0;0;210;;;;
258;119;119;86;0;0;211;;;;
258;121;121;86;0;0;211;;;;
259;119;119;86;0;0;212;;;;
259;121;121;86;0;0;212;;;;
260;119;119;86;0;0;213;;;;
