NAME;Percent (0..1)
NAME;Values (0..1)
0.00;FFFFFF
0.01;FDFDFD
0.02;FBFBFB
0.03;F9F9F9
0.04;F7F7F7
0.05;F5F5F5
0.06;F3F3F3
0.07;F1F1F1
0.08;EFEEFF
0.09;EDEDED
0.10;EBEBEB
0.11;E9E9E9
0.12;E7E7E7
0.13;E5E5E5
0.14;E3E3E3
0.15;E1E1E1
0.16;DFDFDF
0.17;DDDDDD
0.18;DBDBDB
0.19;D9D9D9
0.20;D7D7D7
0.21;D5D5D5
0.22;D3D3D3
0.23;D1D1D1
0.24;CFCFCF
0.25;CDCDCD
0.26;CBCBCB
0.27;C9C9C9
0.28;C7C7C7
0.29;C5C5C5
0.30;C3C3C3
0.31;C1C1C1
0.32;BFBFBF
0.33;BDBDBD
0.34;BBBBBB
0.35;B9B9B9
0.36;B7B7B7
0.37;B5B5B5
0.38;B3B3B3
0.39;B1B1B1
0.40;AFAFAF
0.41;ADADAD
0.42;ABABAB
0.43;A9A9A9
0.44;A7A7A7
0.45;A5A5A5
0.46;A3A3A3
0.47;A1A1A1
0.48;9F9F9F
0.49;9D9D9D
0.50;9B9B9B
0.51;999999
0.52;979797
0.53;959595
0.54;939393
0.55;919191
0.56;8F8F8F
0.57;8D8D8D
0.58;8B8B8B
0.59;898989
0.60;878787
0.61;858585
0.62;838383
0.63;818181
0.64;7F7F7F
0.65;7D7D7D
0.66;7B7B7B
0.67;797979
0.68;777777
0.69;757575
0.70;737373
0.71;717171
0.72;6F6F6F
0.73;6D6D6D
0.74;6B6B6B
0.75;696969
0.76;676767
0.77;656565
0.78;636363
0.79;616161
0.80;5F5F5F
0.81;5D5D5D
0.82;5B5B5B
0.83;595959
0.84;575757
0.85;555555
0.86;535353
0.87;515151
0.88;4F4F4F
0.89;4D4D4D
0.90;4B4B4B
0.91;494949
0.92;474747
0.93;454545
0.94;434343
0.95;414141
0.96;3F3F3F
0.97;3D3D3D
0.98;3B3B3B
0.99;393939
1.00;373737
